id,attribute,count
293,hoppy ale,1
298,sweet,1
298,stout,1
298,sweet stout,1
298,brewed,1
298,lactose,1
298,conditioned,1
298,hazelnut,1
298,tahitian vanilla,1
298,vanilla,1
298,cold-steeped,1
298,coffee,1
298,cold-steeped coffee,1
297,hoppy,1
297,ale,1
297,hoppy ale,1
306,bourbon,1
306,barrel aged,1
306,imperial stout,1
306,lactose,1
306,conditioned,1
306,toasted coconut,1
306,coconut,1
306,madagascar vanilla beans,1
306,madagascar vanilla,1
306,vanilla,1
306,vanilla beans,1
300,imperial sweet stout,1
300,imperial stout,1
300,lactose,1
300,conditioned,1
300,@rojosroastery,1
300,coffee,1
300,maple syrup,1
300,maple,1
300,madagascar vanilla,1
300,vanilla,1
300,pumpkin spice,1
300,pumpkin,1
305,unfiltered,1
305,west coast,1
305,pale ale,1
305,collaboration,1
305,@bonnplace,1
312,sour ale,1
312,lactose,1
312,refermented,1
312,guava,1
312,conditioned,1
312,strawberry gummies,1
312,strawberry,1
312,gummies,1
308,hoppy,1
308,ale,1
308,hoppy ale,1
310,hoppy,1
310,ale,1
310,hoppy ale,1
299,hoppy,1
299,ale,1
299,hoppy ale,1
303,hoppy,1
303,ale,1
303,hoppy ale,1
313,hoppy,1
313,ale,1
313,hoppy ale,1
301,hoppy,1
301,ale,1
301,hoppy ale,1
311,hoppy,1
311,ale,1
311,hoppy ale,1
309,hoppy,1
309,ale,1
309,brewed,1
309,lactose,1
309,conditioned,1
309,marshmallows,1
309,vanilla,1
309,fresh,1
309,hoppy ale,1
309,tahitian vanilla,1
309,lime zest,1
304,sour,1
304,ale,1
304,brewed,1
304,lactose,1
304,refermented,1
304,fruit,1
304,strawberry,1
304,sour ale,1
304,passion fruit,1
314,hoppy,1
314,ale,1
314,hoppy ale,1
307,hoppy,1
307,ale,1
307,hoppy ale,1
302,sour,1
302,ale,1
302,brewed,1
302,lactose,1
302,refermented,1
302,blueberry,1
302,conditioned,1
302,hibiscus,1
302,fresh,1
302,sour ale,1
302,orange zest,1
316,hoppy,1
316,ale,1
316,hoppy ale,1
317,hoppy,1
317,ale,1
317,hoppy ale,1
318,hoppy,1
318,ale,1
318,hoppy ale,1
319,hoppy,1
319,ale,1
319,hoppy ale,1
320,hoppy,1
320,ale,1
320,hoppy ale,1
